,0,1
0,사형,0.026238564
1,밥,0.023388442
2,하나,0.02326714
3,세금,0.022366637
4,범죄,0.020862572
5,죽,0.020621644
6,법,0.018334309
7,미약,0.017276073
8,집행,0.01671243
9,정신병,0.016651489
10,심신,0.01613514
11,사형제,0.015435703
12,말,0.015397582
13,진짜,0.0153135145
14,사람,0.014682807
15,피해자,0.013906185
16,생각,0.012821161
17,나라,0.011813473
18,정상인,0.011488742
19,장모,0.0113988435
20,어쨌든,0.010710827
21,돈,0.010321262
22,교도소,0.009036606
23,회복,0.008471233
24,칼,0.008229877
25,예방,0.0081193885
26,재범,0.007929174
27,범죄자,0.007851776
28,이유,0.007346616
29,사건,0.0071476744
30,피해,0.0068855067
31,살해,0.0068288213
32,누구,0.0067633414
33,란,0.006707352
34,총,0.006546362
35,발생,0.0064620655
36,미국,0.0064135552
37,형사,0.0062942137
38,중대,0.0061846455
39,식,0.0061632167
40,무엇,0.006145683
41,뿐,0.006117729
42,부산,0.0060000177
43,먼저,0.0059959255
44,원인,0.0059888544
45,안해,0.0059271967
46,유사,0.005802697
47,둘,0.005791371
48,이나라,0.00572236
49,지속,0.005696913
50,여성,0.0055777985
51,엄해,0.005405993
52,가능성,0.005282912
53,해도,0.0052140164
54,처벌,0.0051879957
55,누가,0.0050664353
56,사회,0.0050258525
57,처리,0.0045054937
58,기,0.004342117
59,살인,0.004271101
60,그냥,0.004172574
61,형량,0.0038913593
62,사용,0.0033325006
63,사고,0.0033261671
64,정신,0.0032824094
65,이제,0.003116376
66,한국,0.0031124165
67,감옥,0.0029609161
68,곳,0.0029232407
69,경찰,0.002789531
70,외교,0.002723911
71,문제,0.0027027505
72,살,0.0026080236
73,효과,0.0025836707
74,무슨,0.0025104177
75,한번,0.0025049935
76,다른,0.0022204684
77,답,0.0022079232
78,신림,0.0021775493
79,목숨,0.002159909
80,거리,0.002153234
81,가장,0.0021117555
82,평생,0.0021076715
83,의경,0.0020997785
84,제발,0.0020013512
85,그것,0.0019952005
86,국민,0.0019765035
87,자,0.0019558093
88,지금,0.0019508043
89,자신,0.0018831673
90,사형선고,0.0018642053
91,게임,0.0018594601
92,칼부림,0.0018240344
93,아이,0.001762473
94,계속,0.0017190092
95,소리,0.0017001976
96,저런,0.0016817709
97,가석방,0.0016487851
98,인간,0.0016466895
99,한화,0.0016282564
100,인권,0.0015722488
101,자꾸,0.0015447282
102,강화,0.0015272239
103,임,0.0015255798
104,개인,0.001495577
105,어차피,0.0014922853
106,일이,0.0014852799
107,하루,0.00147861
108,인생,0.001458644
109,찍,0.001448639
110,관악구,0.0014458975
111,당장,0.0014377654
112,본인,0.0014173937
113,복수,0.0014127819
114,역시,0.0014038824
115,일,0.0013398015
116,모든,0.0013249811
117,대가리,0.0013085795
118,인력,0.0013031587
119,노력,0.0012964968
120,중,0.0012547801
121,남,0.0012492938
122,짓,0.0012481586
123,막,0.0012465568
124,허용,0.001244853
125,배팅,0.0012302627
126,존재,0.0012228858
127,년,0.0012124868
128,도입,0.001211651
129,예고,0.0012079643
130,집값,0.0012035252
131,기사,0.0011409681
132,줄,0.0011189338
133,걱정,0.001083706
134,관악,0.0010774267
135,흉악,0.0010736583
136,경찰관,0.0010694896
137,오늘,0.0010540792
138,실행,0.00104519
139,대통령,0.0010137518
140,낭비,0.0010125259
141,겁,0.0009991033
142,잘못,0.0009955992
143,개선,0.0009903912
144,폭력,0.0009825301
145,누,0.00097100006
146,자식,0.00096616766
147,얼마,0.00096353417
148,얼마나,0.00095852354
149,위,0.00095771207
150,헛소리,0.0009574927
151,별,0.00093955634
152,보상,0.00093786
153,팔,0.00093012163
154,어디,0.00090935855
155,정말,0.0009008721
156,대한,0.00089945673
157,짓거리,0.0008945252
158,동네,0.0008773581
159,맘,0.0008696272
160,벌,0.00086871424
161,집,0.00085456314
162,국가,0.000846608
163,가해자,0.0008373137
164,공짜,0.0008364722
165,정의,0.00082835107
166,입원,0.00081213546
167,고문,0.0007894878
168,사지,0.0007866682
169,인식,0.0007825155
170,죄,0.0007814128
171,때문,0.0007792894
172,프로,0.00077666563
173,일본,0.0007762868
174,함,0.00077160005
175,제목,0.00076676224
176,우리나라,0.0007596497
177,끼리,0.00075176515
178,면서,0.00074257323
179,삶,0.00074212503
180,예,0.0007343046
181,논리,0.00073331664
182,역,0.0007318737
183,번,0.0007310313
184,해외,0.0007270102
185,겨,0.0007237613
186,대한민국,0.00071893504
187,순찰,0.00071045855
188,전라도,0.00070480036
189,등등,0.0007029139
190,현장,0.0007008383
191,도박,0.00069813273
192,날,0.0006979052
193,물,0.00069715607
194,김대중,0.0006958652
195,필요,0.0006956173
196,남자,0.00068903813
197,온,0.0006884532
198,일당,0.0006785216
199,이상,0.0006780161
200,난리,0.00067687855
201,후,0.0006760067
202,명,0.00066534145
203,살인마,0.0006628821
204,여자,0.0006627005
205,똥,0.0006592383
206,해,0.00065824855
207,꼬,0.0006578006
208,쓰레기,0.00065466826
209,대해,0.0006530164
210,전,0.0006524055
211,대응,0.0006519171
212,과연,0.0006501188
213,글,0.0006494213
214,가지,0.0006451479
215,서로,0.0006428903
216,불구,0.0006293912
217,악마,0.0006287881
218,부탁,0.0006241487
219,이재명,0.00061551743
220,요즘,0.0006090108
221,도대체,0.00060502527
222,수준,0.00060195074
223,남미,0.000595676
224,이번,0.0005940838
225,가면,0.00059244083
226,스스로,0.00059043744
227,구,0.00058558537
228,부활,0.000585487
229,구현,0.00058271433
230,망치,0.00057848013
231,된거,0.0005763818
232,뭘,0.0005728468
233,아무,0.0005721004
234,총기,0.00057143305
235,단어,0.00056931825
236,차례,0.00056902226
237,한마디,0.00056688435
238,바로,0.0005643245
239,보고,0.000556726
240,언제,0.0005547581
241,사살,0.0005522827
242,다행,0.00055102835
243,중독,0.0005410484
244,옆,0.0005390209
245,다그,0.00053776073
246,정도,0.0005349294
247,자리,0.00053437863
248,검,0.0005313867
249,내지,0.00053133775
250,어른,0.00053052156
251,범인,0.0005273744
252,달,0.0005240272
253,시민,0.0005229216
254,형제,0.0005223116
255,감,0.0005121555
256,라면,0.00050970865
257,의무경찰,0.00050743006
258,즉각,0.000496305
259,아래,0.00049418455
260,적,0.0004939354
261,여러분,0.0004920041
262,똑,0.00048828754
263,피,0.00048789082
264,처분,0.00048671837
265,활개,0.0004861933
266,보수,0.00048393622
267,병,0.00048223865
268,살이,0.00047953427
269,범,0.00047014537
270,무능,0.00046940128
271,만,0.0004684477
272,범법,0.0004618623
273,정치,0.00046077318
274,폐지,0.0004524127
275,판사,0.0004513197
276,약,0.0004505659
277,다리,0.0004495445
278,변명,0.00044585904
279,혐오,0.00044180284
280,하자,0.0004366466
281,문재인,0.0004352295
282,혹시,0.00043517794
283,입,0.0004347634
284,이익,0.00043324407
285,슬슬,0.00043092543
286,호텔,0.00043038558
287,나름,0.0004281747
288,채,0.00042758542
289,다음,0.00042749036
290,웃기,0.00042598054
291,생명,0.00042578895
292,자격,0.00042405515
293,단죄,0.00042200147
294,심,0.00041958035
295,보임,0.00041573925
296,와중,0.00041397783
297,헛,0.00041365856
298,발전,0.00041118596
299,탈,0.00041001494
300,자체,0.00040858347
301,여기,0.0004075244
302,그게,0.0004068392
303,절대,0.00040547337
304,국,0.00040020503
305,생활,0.0003986623
306,아,0.0003982723
307,온통,0.00039803
308,제공,0.0003974947
309,당한,0.0003953423
310,증거,0.00039248334
311,부류,0.00039191282
312,예견,0.00037647737
313,기회,0.00037639315
314,팬,0.0003721502
315,살인죄,0.00036802885
316,일베,0.00036672907
317,남성,0.00036614077
318,견찰,0.0003660634
319,분풀이,0.00036505115
320,코로나,0.00036253512
321,지경,0.0003564721
322,매국노,0.0003558698
323,추가,0.00035540585
324,짐승,0.0003533229
325,팩트,0.00035267486
326,아주,0.00035028727
327,욕,0.00034876802
328,야당,0.00034856817
329,마네,0.00034352884
330,차단,0.00034266344
331,토토,0.000342148
332,미리,0.00033861937
333,대표,0.000338355
334,꼴,0.00033648452
335,종일,0.00033553556
336,파,0.00032903458
337,느낌,0.00032772103
338,방류,0.0003268535
339,사안,0.00032670444
340,를,0.0003265496
341,타,0.0003259911
342,건가,0.00032586046
343,보장,0.0003246089
344,대가,0.00032358195
345,제,0.00032239378
346,마약,0.0003203475
347,소득,0.0003194959
348,모습,0.00031877038
349,엔씨,0.00031493587
350,어찌,0.00031068668
351,합,0.0003104021
352,더위,0.00030857828
353,폭등,0.00030479388
354,극형,0.000302361
355,한참,0.0003016216
356,공표,0.0003006498
357,패,0.00030007958
358,공감,0.00029846054
359,시작,0.00029706242
360,영구,0.00029559556
361,소지,0.00029505516
362,현,0.000294508
363,노출,0.00029400305
364,주민,0.0002935471
365,기어,0.0002902532
366,모두,0.00028977834
367,발,0.00028947194
368,악한,0.000287708
369,몇,0.0002870106
370,좌파,0.0002859379
371,확률,0.00028266056
372,용의자,0.00028248076
373,장기,0.0002821037
374,이후,0.00027997803
375,신분,0.0002781043
376,공익,0.00027771122
377,정작,0.00027719088
378,그림,0.0002758291
379,블라인드,0.00027487276
380,세상,0.00027364685
381,전직,0.0002725499
382,껀,0.00027206205
383,역할,0.00027064042
384,산,0.0002705448
385,지적,0.0002703115
386,드라마,0.00026728224
387,오염수,0.00026704863
388,다시,0.00026631847
389,사전,0.00025983647
390,치안,0.00025744786
391,아침,0.00025646016
392,측면,0.00025398834
393,수완,0.00025303982
394,경제,0.00025040077
395,일벌,0.00024859715
396,우리,0.00024767203
397,싸움,0.00024487183
398,단,0.0002433674
399,속보,0.0002419074
400,정체,0.00023960002
401,망,0.00023948074
402,골,0.00023627201
403,마동석,0.00023480167
404,일본해,0.00023464681
405,묘,0.0002341733
406,금리,0.00023320598
407,불안,0.0002327578
408,해소,0.00023275331
409,동의,0.00023121516
410,성인,0.00022952037
411,경찰청,0.00022943143
412,노인,0.0002291647
413,접근,0.00022909204
414,얼굴,0.00022884476
415,구석,0.00022865353
416,난사,0.00022859109
417,민족,0.00022841894
418,잠재,0.00022841465
419,판례,0.00022839202
420,커뮤,0.00022769067
421,청소,0.00022761818
422,일상,0.00022637889
423,사랑,0.00022531718
424,잠도,0.0002241287
425,대림,0.00022293352
426,모순,0.00022172139
427,군대,0.00022066814
428,부,0.0002203407
429,반찬,0.00022009778
430,정권,0.0002199403
431,멍청이,0.00021292636
432,런,0.0002128785
433,도로,0.00021105332
434,변호사,0.00020679555
435,숙식,0.00020607414
436,댕,0.00020494394
437,미디어,0.00020265495
438,사치,0.00019828163
439,수사,0.00019730414
440,애나,0.00019606078
441,독립,0.00019552742
442,고가,0.00019547944
443,방치,0.00019485675
444,군데,0.000193352
445,햇빛,0.00019333916
446,시각,0.00019312686
447,심의,0.00019308788
448,진정,0.00019289312
449,만하,0.00019232277
450,경기,0.00019079224
451,네,0.0001901643
452,이처럼,0.00018877212
453,계정,0.00018800925
454,그로,0.00018783094
455,데,0.00018571896
456,댓글,0.00018528658
457,요새,0.0001846392
458,태형,0.0001836762
459,깜방,0.00018254758
460,저리,0.00018254404
461,인터넷,0.00018241744
462,흉내,0.00018240348
463,일인,0.00018219576
464,상황,0.00018196288
465,노동자,0.00018194095
466,자유,0.00018175744
467,구속,0.00018096574
468,앞날,0.00018032681
469,소행,0.0001802977
